Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.38,-.13,-.02,-.82,-.50,-.28,-.15,-.11,-.04,.05,.66
1881,-.09,-.18,.00,-.36,.10,-.07,-.93,-.47,-.20,.10,.10,-.05,-.07,.58
1882,-.11,-.22,-.01,-.32,-.05,.01,-1.42,-.28,-.15,-.05,-.05,.01,.04,.62
1883,-.18,-.29,-.07,-.36,-.16,-.01,-.19,-.57,-.27,-.18,-.15,-.04,.07,.49
1884,-.28,-.43,-.15,-.61,-.15,-.14,-1.31,-.65,-.47,-.13,-.17,-.20,-.02,.64
1885,-.33,-.44,-.24,-.66,-.13,-.28,-1.51,-.69,-.46,-.06,-.20,-.34,-.15,.81
1886,-.32,-.44,-.20,-.58,-.20,-.22,-1.59,-.52,-.41,-.21,-.18,-.20,-.20,.58
1887,-.37,-.44,-.29,-.54,-.30,-.28,-1.77,-.52,-.30,-.30,-.30,-.28,-.26,.31
1888,-.18,-.24,-.12,-.43,.10,-.29,-1.31,-.44,-.26,.07,.13,-.31,-.22,.15
1889,-.11,-.18,-.04,-.30,.08,-.17,-.69,-.24,-.28,.02,.14,-.16,-.15,.44
1890,-.35,-.39,-.32,-.47,-.37,-.23,-1.15,-.57,-.28,-.27,-.47,-.18,-.27,.14
1891,-.23,-.26,-.19,-.43,-.08,-.22,-1.13,-.34,-.37,.00,-.16,-.18,-.24,-.17
1892,-.27,-.40,-.15,-.44,-.29,-.08,-1.16,-.66,-.18,-.32,-.26,.02,-.21,.08
1893,-.31,-.47,-.15,-.52,-.35,-.05,-.70,-.55,-.47,-.41,-.30,.07,-.20,-.05
1894,-.30,-.38,-.21,-.33,-.33,-.24,-.96,-.33,-.19,-.47,-.18,-.15,-.35,-.39
1895,-.23,-.30,-.15,-.41,-.06,-.26,-.68,-.53,-.27,-.13,.01,-.20,-.32,-.59
1896,-.11,-.20,-.03,-.36,.10,-.15,-.89,-.38,-.22,.06,.14,-.15,-.13,.24
1897,-.11,-.17,-.05,-.36,.17,-.24,-.56,-.48,-.25,.14,.21,-.19,-.27,.39
1898,-.28,-.29,-.26,-.36,-.22,-.27,-1.15,-.26,-.24,-.18,-.26,-.28,-.21,.37
1899,-.18,-.21,-.14,-.25,-.12,-.19,-1.02,-.11,-.15,-.16,-.08,-.15,-.22,.57
1900,-.08,-.09,-.06,-.21,.18,-.30,-.54,-.17,-.16,.10,.26,-.29,-.29,.26
1901,-.15,-.13,-.18,-.17,-.03,-.30,-.40,-.11,-.16,-.05,-.01,-.27,-.33,.25
1902,-.28,-.33,-.22,-.53,-.03,-.35,-1.39,-.52,-.33,-.02,-.05,-.28,-.43,-.06
1903,-.37,-.38,-.36,-.48,-.28,-.39,-.27,-.43,-.56,-.23,-.33,-.35,-.40,-.50
1904,-.47,-.48,-.46,-.51,-.46,-.44,-.16,-.61,-.56,-.43,-.49,-.37,-.49,-1.32
1905,-.26,-.29,-.23,-.41,-.08,-.36,-.03,-.24,-.63,-.11,-.05,-.33,-.37,-.34
1906,-.22,-.24,-.21,-.26,-.19,-.23,-.25,-.07,-.40,-.20,-.17,-.21,-.22,-.72
1907,-.39,-.47,-.30,-.59,-.30,-.29,-.56,-.73,-.52,-.30,-.31,-.21,-.37,-1.21
1908,-.43,-.46,-.40,-.48,-.44,-.36,-.22,-.55,-.52,-.42,-.46,-.29,-.48,.67
1909,-.49,-.49,-.48,-.54,-.48,-.44,-.72,-.63,-.45,-.44,-.52,-.37,-.52,-.57
1910,-.43,-.44,-.43,-.42,-.48,-.38,-.56,-.25,-.50,-.47,-.49,-.33,-.45,.15
1911,-.44,-.42,-.46,-.43,-.42,-.48,-.28,-.42,-.47,-.42,-.42,-.44,-.53,.04
1912,-.36,-.46,-.25,-.60,-.17,-.37,-.50,-.79,-.51,-.26,-.08,-.37,-.29,-1.64
1913,-.34,-.42,-.26,-.44,-.26,-.35,-.48,-.34,-.51,-.38,-.14,-.28,-.40,-1.04
1914,-.15,-.19,-.11,-.25,-.06,-.18,-.34,-.16,-.29,-.10,-.01,-.15,-.18,-.37
1915,-.14,-.14,-.13,-.24,-.01,-.22,-.59,-.17,-.19,.00,-.01,-.15,-.23,-1.99
